State,Prevalence,95% CI
Alabama,38.3,"(36.3, 40.3)"
Alaska,32.1,"(30.4, 33.9)"
Arizona,33.2,"(31.6, 34.9)"
Arkansas,37.4,"(35.6, 39.2)"
California,28.1,"(26.8, 29.4)"
Colorado,25.0,"(23.9, 26.2)"
Connecticut,30.6,"(29.1, 32.1)"
Delaware,37.9,"(35.6, 40.2)"
District of Columbia,24.3,"(22.2, 26.5)"
Florida,31.6,"(29.9, 33.4)"
Georgia,37.0,"(35.4, 38.7)"
Guam,32.7,"(28.8, 36.8)"
Hawaii,25.9,"(24.4, 27.4)"
Idaho,33.2,"(31.7, 34.7)"
Illinois,33.4,"(31.5, 35.3)"
Indiana,37.7,"(36.4, 38.9)"
Iowa,37.4,"(36.0, 38.8)"
Kansas,35.7,"(34.4, 37.0)"
Kentucky,37.7,"(35.6, 39.9)"
Louisiana,40.1,"(38.3, 41.9)"
Maine,33.1,"(31.8, 34.5)"
Maryland,33.2,"(31.9, 34.4)"
Massachusetts,27.2,"(26.0, 28.5)"
Michigan,34.5,"(33.2, 35.8)"
Minnesota,33.6,"(32.6, 34.7)"
Mississippi,39.5,"(37.5, 41.4)"
Missouri,36.4,"(34.9, 38.0)"
Montana,30.5,"(29.1, 32.0)"
Nebraska,35.3,"(33.7, 36.9)"
Nevada,33.5,"(31.0, 36.2)"
New Hampshire,30.2,"(28.6, 32.0)"
New Jersey,29.1,"(27.6, 30.7)"
New Mexico,32.4,"(30.5, 34.4)"
New York,30.1,"(29.1, 31.2)"
North Carolina,34.1,"(32.1, 36.1)"
North Dakota,35.4,"(33.6, 37.3)"
Ohio,38.1,"(37.0, 39.3)"
Oklahoma,40.0,"(38.4, 41.6)"
Oregon,30.9,"(29.4, 32.4)"
Pennsylvania,33.4,"(31.2, 35.5)"
Puerto Rico,34.1,"(32.3, 35.9)"
Rhode Island,30.8,"(29.1, 32.7)"
South Carolina,35.0,"(33.6, 36.4)"
South Dakota,36.8,"(33.5, 40.1)"
Tennessee,38.9,"(37.1, 40.8)"
Texas,35.5,"(34.0, 37.1)"
Utah,31.1,"(29.9, 32.4)"
Vermont,26.8,"(25.4, 28.3)"
Virgin Islands,32.1,"(25.4, 39.6)"
Virginia,35.2,"(33.8, 36.6)"
Washington,31.7,"(30.9, 32.5)"
West Virginia,41.0,"(39.3, 42.8)"
Wisconsin,37.7,"(36.4, 39.0)"
Wyoming,34.3,"(32.3, 36.2)"
